PROV_ID,PROV_NAME,PROV_TYPE_C,SPECIALTY,NPI,ACTIVE_STATUS
SER200001,"Kathryn Daniels, MD",1,Pediatrics,1048994177,Active
SER200002,"Piper Simmons, MD",1,General Surgery,1635572088,Active
SER200003,"Ivy Alvarez, MD",1,Anesthesiology,1843745132,Active
SER200004,"Charles Zimmerman, NP",2,Psychiatry,1711729473,Active
SER200005,"Ashton Herrera, MD",4,Radiology,1504151712,Active
SER200006,"Frances Hamilton, PA",3,General Surgery,1468802433,Active
SER200007,"Owen Goodwin, MD",1,Family Medicine,1420174167,Active
SER200008,"Amy Murray, MD",1,Family Medicine,1527598042,Active
SER200009,"Austin Salazar, MD",1,Cardiology,1609827257,Active
SER200010,"Gianna Morrison, NP",2,Orthopedics,1111256336,Active
SER200011,"Ryker Turner, MD",1,General Surgery,1304798909,Active
SER200012,"Courtney Bishop, MD",4,Oncology,1527040961,Active
SER200013,"Jill Bryant, MD",1,Oncology,1364910015,Active
SER200014,"Maddox Peters, MD",1,Dermatology,1542926310,Active
SER200015,"Christina Vasquez, MD",1,Psychiatry,1646595103,Active
SER200016,"Sofia Lee, MD",4,Psychiatry,1873027636,Active
SER200017,"Cassie Chapman, MD",1,Endocrinology,1525516347,Active
SER200018,"Zoe Delgado, MD",1,Psychiatry,1786504176,Active
SER200019,"Carson Jenkins, MD",1,Emergency Medicine,1249748543,Active
SER200020,"Steven Parker, MD",4,Dermatology,1425550047,Active
SER200021,"Gloria Sandoval, MD",1,Emergency Medicine,1863240533,Active
SER200022,"Cassandra Cook, MD",1,Internal Medicine,1678816091,Active
SER200023,"Luke Santos, MD",1,General Surgery,1090890221,Active
SER200024,"Christopher Gonzales, PA",3,General Surgery,1575064462,Active
SER200025,"Nina West, MD",1,Obstetrics & Gynecology,1558842513,Active
SER200026,"Rhonda Aguilar, MD",1,Endocrinology,1292789507,Active
SER200027,"Wendy Russell, MD",1,General Surgery,1120776636,Active
SER200028,"Hugo Mitchell, MD",1,Anesthesiology,1297411862,Active
SER200029,"Hannah Mills, PA",3,Dermatology,1018863540,Active
SER200030,"Carl Brooks, MD",1,Family Medicine,1218037319,Active
SER200031,"Ronald Henderson, MD",1,Psychiatry,1369732604,Active
SER200032,"Tyler Schmidt, MD",4,Emergency Medicine,1783707079,Active
SER200033,"Robert Taylor, MD",1,Family Medicine,1566114655,Active
SER200034,"Lincoln Meyer, MD",1,Anesthesiology,1781857707,Active
SER200035,"Jenna Figueroa, MD",4,Emergency Medicine,1804436296,Active
SER200036,"Roman Duncan, PA",3,Oncology,1411060266,Active
SER200037,"Addison Hernandez, PA",3,Neurology,1535107814,Active
SER200038,"Elliott Crawford, NP",2,Endocrinology,1643978301,Active
SER200039,"Micah Wheeler, MD",1,Internal Medicine,1538325382,Active
SER200040,"Billy Ruiz, MD",1,Psychiatry,1639980424,Active
SER200041,"Vanessa Hawkins, MD",1,Neurology,1649938979,Active
SER200042,"Raymond Matthews, MD",1,Internal Medicine,1460663398,Active
SER200043,"Ryder Kelly, MD",1,Orthopedics,1341610607,Active
