ProviderKey,ProviderDurableKey,NPI,ProviderName,FirstName,LastName,Credentials,Gender,ProviderType,IsProviderActive,PrimarySpecialty,ProviderStatus,HireDate,TerminationDate,_IsCurrent,EffectiveDate,ExpirationDate
1,100001,1127916858,"Weston Gomez, DO",Weston,Gomez,DO,M,Physician,0,Internal Medicine,Terminated,2005-06-23,2008-04-14,1,2005-06-23,9999-12-31
2,100002,1155869694,"Jayden Cruz, DO",Jayden,Cruz,DO,M,Physician,1,Internal Medicine,Active,2022-04-14,,1,2022-04-14,9999-12-31
3,100003,1254194457,"Heather Garcia, DO",Heather,Garcia,DO,F,Physician,1,Family Medicine,Active,2010-02-19,,1,2010-02-19,9999-12-31
4,100004,1762088404,"Jocelyn Medina, MD",Jocelyn,Medina,MD,F,Physician,1,Psychiatry,Active,2023-01-10,,1,2023-01-10,9999-12-31
5,100005,1784714617,"Delilah Wright, DO",Delilah,Wright,DO,F,Physician,1,Gastroenterology,Active,2013-09-10,,1,2013-09-10,9999-12-31
6,100006,1437651225,"Rosa Santos, MD",Rosa,Santos,MD,F,Physician,1,Family Medicine,Active,2013-01-12,,1,2013-01-12,9999-12-31
7,100007,1346463122,"Eugene Payne, DO",Eugene,Payne,DO,M,Physician,1,Family Medicine,Active,2021-02-12,,1,2021-02-12,9999-12-31
8,100008,1926322431,"Josephine Harrison, DO",Josephine,Harrison,DO,F,Physician,1,Pediatrics,Active,2013-04-29,,1,2013-04-29,9999-12-31
9,100009,1585042412,"Greyson Chen, MD",Greyson,Chen,MD,M,Physician,1,Anesthesiology,Active,2022-10-13,,1,2022-10-13,9999-12-31
10,100010,1372620475,"Denise Hanson, DO",Denise,Hanson,DO,F,Physician,1,Anesthesiology,Active,2019-10-14,,1,2019-10-14,9999-12-31
11,100011,1009169043,"Ian Palmer, MD",Ian,Palmer,MD,M,Physician,1,Endocrinology,Active,2015-06-03,,1,2015-06-03,9999-12-31
12,100012,1869136433,"Mason Jenkins, DO",Mason,Jenkins,DO,M,Physician,0,Family Medicine,Terminated,2018-11-07,2027-12-04,1,2018-11-07,9999-12-31
13,100013,1408993469,"Lisa Campbell, PA",Lisa,Campbell,PA,F,Advanced Practice Provider,1,Physician Assistant,Active,2016-01-23,,1,2016-01-23,9999-12-31
14,100014,1202879449,"Victor Lopez, DO",Victor,Lopez,DO,M,Physician,1,Pediatrics,Active,2023-01-04,,1,2023-01-04,9999-12-31
15,100015,1386547596,"Jessica Sutton, DO",Jessica,Sutton,DO,F,Physician,1,Cardiology,Active,2008-12-23,,1,2008-12-23,9999-12-31
16,100016,1277527705,"Paul Dixon, DO",Paul,Dixon,DO,M,Surgeon,1,General Surgery,Active,2021-03-23,,1,2021-03-23,9999-12-31
17,100017,1128056169,"Parker Salazar, MD",Parker,Salazar,MD,M,Physician,1,Radiology,Active,2007-06-05,,1,2007-06-05,9999-12-31
18,100018,1834604759,"Julia Andrews, MD",Julia,Andrews,MD,F,Physician,1,Family Medicine,Active,2019-03-11,,1,2019-03-11,9999-12-31
19,100019,1701296980,"Eleanor Porter, DO",Eleanor,Porter,DO,F,Surgeon,1,General Surgery,Active,2016-07-25,,1,2016-07-25,9999-12-31
20,100020,1014355700,"Savannah Henry, DO",Savannah,Henry,DO,F,Physician,1,Internal Medicine,Active,2013-05-13,,1,2013-05-13,9999-12-31
21,100021,1236426087,"Alicia Vega, DO",Alicia,Vega,DO,F,Physician,1,Internal Medicine,Active,2020-06-07,,1,2020-06-07,9999-12-31
22,100022,1102863697,"Madelyn Morgan, MD",Madelyn,Morgan,MD,F,Physician,1,Family Medicine,Active,2018-11-09,,1,2018-11-09,9999-12-31
23,100023,1430837368,"Adalynn Bradley, DO",Adalynn,Bradley,DO,F,Physician,1,Pediatrics,Active,2022-11-14,,1,2022-11-14,9999-12-31
