ProviderCredentialKey,ProviderKey,ProviderDurableKey,LicenseNumber,LicenseState,DEANumber,BoardCertification,LicenseExpirationDate,DEAExpirationDate,BoardCertExpirationDate,_IsCurrent,EffectiveDate,ExpirationDate
1,1,100001,AZ371361,AZ,TG9442544,American Board of Internal Medicine,2028-03-09,2027-03-06,2029-06-01,1,2005-06-23,9999-12-31
2,2,100002,GA570367,GA,RC6614318,American Board of Internal Medicine,2029-03-08,2027-01-01,2031-07-15,1,2022-04-14,9999-12-31
3,3,100003,MN741949,MN,SG5940238,American Board of Family Medicine,2029-03-27,2028-12-30,2031-03-04,1,2010-02-19,9999-12-31
4,4,100004,GA654752,GA,UM8155885,ABPN - Psychiatry,2026-08-09,2029-06-09,2033-09-03,1,2023-01-10,9999-12-31
5,5,100005,CA567233,CA,SW7199314,ABIM - Gastroenterology,2029-01-11,2027-05-24,2027-09-22,1,2013-09-10,9999-12-31
6,6,100006,OH376610,OH,US7201562,American Board of Family Medicine,2028-10-13,2029-04-01,2031-12-05,1,2013-01-12,9999-12-31
7,7,100007,MA868569,MA,GP7715770,American Board of Family Medicine,2028-11-20,2028-01-21,2032-05-10,1,2021-02-12,9999-12-31
8,8,100008,WA610164,WA,UH6010195,American Board of Pediatrics,2027-08-12,2026-12-31,2028-06-10,1,2013-04-29,9999-12-31
9,9,100009,GA125223,GA,BC9328620,American Board of Anesthesiology,2028-02-15,2028-11-08,2034-11-08,1,2022-10-13,9999-12-31
10,10,100010,NY418030,NY,GH5076084,American Board of Anesthesiology,2027-04-08,2027-07-08,2034-05-02,1,2019-10-14,9999-12-31
11,11,100011,CA904935,CA,GP3030969,ABIM - Endocrinology,2026-09-08,2027-06-12,2035-08-04,1,2015-06-03,9999-12-31
12,12,100012,GA251311,GA,SJ3895298,American Board of Family Medicine,2028-07-19,2026-10-16,2031-10-29,1,2018-11-07,9999-12-31
13,13,100013,PA877739,PA,TC8326298,NCCPA Certification,2028-08-26,2028-03-13,2029-10-11,1,2016-01-23,9999-12-31
14,14,100014,WA871185,WA,XL7041018,American Board of Pediatrics,2028-05-26,2027-07-21,2032-01-14,1,2023-01-04,9999-12-31
15,15,100015,FL385501,FL,SS9458809,ABIM - Cardiovascular Disease,2026-09-22,2027-02-16,2028-01-15,1,2008-12-23,9999-12-31
16,16,100016,MA769376,MA,SD6476838,American Board of Surgery,2028-10-02,2028-04-30,2032-12-08,1,2021-03-23,9999-12-31
17,17,100017,IL501560,IL,MS5164723,American Board of Radiology,2026-07-26,2028-06-28,2033-06-16,1,2007-06-05,9999-12-31
18,18,100018,NY313152,NY,MA5616947,American Board of Family Medicine,2027-06-06,2028-07-20,2033-12-02,1,2019-03-11,9999-12-31
19,19,100019,FL890653,FL,MP5431633,American Board of Surgery,2028-05-26,2026-10-07,2036-04-16,1,2016-07-25,9999-12-31
20,20,100020,PA843213,PA,BH3802910,American Board of Internal Medicine,2028-06-15,2029-04-08,2029-07-10,1,2013-05-13,9999-12-31
21,21,100021,OH176291,OH,SV6853892,American Board of Internal Medicine,2027-01-02,2027-06-13,2033-06-30,1,2020-06-07,9999-12-31
22,22,100022,IL952576,IL,TM6838911,American Board of Family Medicine,2028-11-12,2028-10-13,2033-05-21,1,2018-11-09,9999-12-31
23,23,100023,MN374757,MN,RB7015384,American Board of Pediatrics,2028-02-16,2027-10-23,2033-09-26,1,2022-11-14,9999-12-31
24,24,100024,CO457873,CO,TW5953914,ABIM - Cardiovascular Disease,2027-05-12,2027-08-03,2030-07-11,1,2011-06-01,9999-12-31
25,25,100025,FL521635,FL,PW3412901,American Board of Orthopaedic Surgery,2029-07-07,2026-10-29,2030-06-28,1,2008-02-24,9999-12-31
26,26,100026,NC229418,NC,PG4882943,American Board of Pediatrics,2028-09-12,2028-06-02,2031-06-06,1,2018-03-14,9999-12-31
27,27,100027,FL839992,FL,MT5028906,ABIM - Cardiovascular Disease,2027-06-19,2027-09-23,2035-06-25,1,2015-07-29,9999-12-31
28,28,100028,NY127244,NY,FF9405641,American Board of Urology,2028-07-25,2028-03-02,2030-10-27,1,2010-02-08,9999-12-31
29,29,100029,OH636791,OH,PB3787330,American Board of Internal Medicine,2027-03-30,2027-01-02,2034-12-08,1,2018-08-16,9999-12-31
30,30,100030,IL504268,IL,TG1913443,American Board of Family Medicine,2029-05-07,2029-05-23,2033-09-29,1,2015-11-05,9999-12-31
31,31,100031,NC786821,NC,FR4137399,American Board of Internal Medicine,2026-10-25,2027-05-04,2036-06-24,1,2021-01-16,9999-12-31
32,32,100032,AZ224092,AZ,FR3313071,ABPN - Psychiatry,2026-11-30,2027-08-06,2035-06-28,1,2005-06-19,9999-12-31
33,33,100033,NC411270,NC,PC8467852,American Board of Obstetrics and Gynecology,2029-06-02,2027-05-16,2029-02-25,1,2022-08-15,9999-12-31
34,34,100034,CO834270,CO,TR5439609,ABPN - Psychiatry,2027-03-11,2026-09-08,2033-12-02,1,2006-02-23,9999-12-31
35,35,100035,CO428403,CO,PR9278369,American Board of Surgery,2027-07-03,2026-09-15,2034-04-29,1,2008-01-07,9999-12-31
36,36,100036,CO998650,CO,PL4656017,ABIM - Endocrinology,2028-02-24,2029-04-23,2033-09-20,1,2012-08-02,9999-12-31
37,37,100037,CA711253,CA,XF1471866,American Board of Internal Medicine,2027-11-30,2028-09-14,2031-04-17,1,2012-11-21,9999-12-31
38,38,100038,WA242182,WA,XD5290060,American Board of Internal Medicine,2027-01-03,2028-07-06,2028-06-14,1,2021-01-20,9999-12-31
39,39,100039,AZ411867,AZ,TH7591816,American Board of Radiology,2027-10-15,2029-01-21,2034-05-12,1,2007-04-07,9999-12-31
40,40,100040,FL383326,FL,RT3186724,American Board of Family Medicine,2029-06-04,2026-08-06,2034-08-05,1,2014-09-06,9999-12-31
41,41,100041,MA469246,MA,FC6981495,ABIM - Endocrinology,2028-01-25,2028-12-14,2035-09-28,1,2007-06-08,9999-12-31
42,42,100042,MA866026,MA,MW3997649,AANP Certification,2026-11-04,2027-05-31,2031-11-16,1,2012-08-04,9999-12-31
43,43,100043,PA728688,PA,AH6891065,ABPN - Psychiatry,2026-09-01,2027-12-21,2029-07-09,1,2010-02-14,9999-12-31
44,44,100044,MA130764,MA,AH4653176,American Board of Internal Medicine,2028-07-10,2027-07-20,2031-11-04,1,2012-06-08,9999-12-31
45,45,100045,NC320249,NC,RR4569652,ABIM - Pulmonary Disease,2027-05-16,2028-08-26,2027-09-16,1,2022-11-01,9999-12-31
46,46,100046,TX336304,TX,GW3162438,American Board of Surgery,2029-02-10,2028-08-07,2032-10-16,1,2015-07-30,9999-12-31
47,47,100047,MN874645,MN,RS6087782,American Board of Family Medicine,2027-01-10,2028-03-12,2034-03-27,1,2018-05-25,9999-12-31
48,48,100048,MN977178,MN,TR5360861,ABIM - Pulmonary Disease,2029-02-01,2029-05-02,2033-06-08,1,2022-11-04,9999-12-31
49,49,100049,NC717304,NC,UM6532221,American Board of Emergency Medicine,2027-08-31,2028-01-26,2034-11-06,1,2007-11-26,9999-12-31
50,50,100050,AZ919328,AZ,PG3972853,American Board of Urology,2027-03-17,2028-09-16,2033-05-25,1,2015-07-24,9999-12-31
51,51,100051,OH682170,OH,GK1195293,American Board of Radiology,2027-09-30,2026-10-08,2029-05-06,1,2017-02-16,9999-12-31
52,52,100052,IL607989,IL,BK7145620,American Board of Internal Medicine,2028-05-24,2027-03-16,2031-04-08,1,2023-05-31,9999-12-31
53,53,100053,AZ309233,AZ,UH4207605,AANP Certification,2027-03-26,2028-09-16,2030-11-13,1,2019-07-18,9999-12-31
54,54,100054,IL482693,IL,XW2441590,American Board of Emergency Medicine,2027-02-02,2028-06-20,2027-11-05,1,2005-07-15,9999-12-31
55,55,100055,OH129397,OH,GM5799188,American Board of Internal Medicine,2027-12-05,2028-07-22,2028-04-07,1,2022-10-14,9999-12-31
56,56,100056,IL172771,IL,XH9853726,ABIM - Gastroenterology,2029-02-13,2027-08-25,2033-10-22,1,2007-08-01,9999-12-31
57,57,100057,MA291598,MA,TL4890262,American Board of Internal Medicine,2027-05-08,2027-12-12,2029-08-25,1,2012-04-03,9999-12-31
58,58,100058,NC595288,NC,UT7187944,ABIM - Cardiovascular Disease,2028-08-12,2029-01-01,2030-01-14,1,2018-05-28,9999-12-31
59,59,100059,GA715928,GA,PN1146880,NCCPA Certification,2026-10-30,2028-10-07,2028-02-26,1,2007-05-11,9999-12-31
60,60,100060,CA877645,CA,SH6597276,American Board of Obstetrics and Gynecology,2026-07-10,2027-10-04,2036-01-15,1,2021-07-28,9999-12-31
61,61,100061,WA192039,WA,BC7178759,ABIM - Pulmonary Disease,2026-07-23,2028-11-11,2030-01-29,1,2020-04-03,9999-12-31
62,62,100062,NY886489,NY,XC1101849,American Board of Anesthesiology,2026-08-13,2027-10-12,2036-01-08,1,2006-02-12,9999-12-31
63,63,100063,NC537253,NC,XV7812910,American Board of Pediatrics,2027-08-12,2029-05-30,2028-12-10,1,2012-09-04,9999-12-31
64,64,100064,NC888306,NC,BA9456164,American Board of Orthopaedic Surgery,2029-03-31,2027-01-29,2028-04-16,1,2016-09-28,9999-12-31
65,65,100065,WA263858,WA,FB4972704,American Board of Emergency Medicine,2028-06-15,2026-11-06,2031-02-24,1,2013-02-02,9999-12-31
66,66,100066,NC622533,NC,RB6317784,ABIM - Cardiovascular Disease,2029-06-17,2026-08-24,2035-04-29,1,2007-01-08,9999-12-31
67,67,100067,FL785238,FL,XP5078390,American Board of Emergency Medicine,2026-08-30,2027-09-30,2035-11-14,1,2019-01-23,9999-12-31
68,68,100068,IL353461,IL,FC4458136,American Board of Internal Medicine,2027-02-26,2029-04-07,2031-07-27,1,2018-05-17,9999-12-31
69,69,100069,GA636917,GA,GM7459652,American Board of Family Medicine,2027-01-14,2027-08-23,2033-04-14,1,2005-11-15,9999-12-31
70,70,100070,AZ552215,AZ,RN5325888,American Board of Dermatology,2028-12-04,2028-12-18,2030-02-22,1,2007-07-06,9999-12-31
71,71,100071,IL609990,IL,AR1687052,American Board of Orthopaedic Surgery,2026-09-11,2027-06-17,2035-10-08,1,2017-09-05,9999-12-31
72,72,100072,AZ180423,AZ,BG4652877,American Board of Family Medicine,2029-03-23,2029-03-30,2032-12-01,1,2007-07-15,9999-12-31
73,73,100073,MN445498,MN,UO5030202,American Board of Internal Medicine,2027-04-06,2027-11-29,2031-12-01,1,2015-02-16,9999-12-31
74,74,100074,TX101643,TX,UM1647694,American Board of Internal Medicine,2028-05-17,2028-10-08,2032-11-27,1,2009-06-23,9999-12-31
75,75,100075,PA703421,PA,SR1217394,American Board of Internal Medicine,2027-04-08,2028-08-11,2033-08-19,1,2011-06-16,9999-12-31
76,76,100076,AZ435051,AZ,RR3275256,American Board of Pediatrics,2026-10-07,2026-07-25,2028-07-26,1,2005-07-03,9999-12-31
77,77,100077,MN316598,MN,GH1426361,ABPN - Psychiatry,2026-08-08,2028-08-18,2031-04-17,1,2009-02-18,9999-12-31
78,78,100078,CO688514,CO,GF2307161,American Board of Obstetrics and Gynecology,2029-04-14,2028-09-24,2031-02-16,1,2011-04-12,9999-12-31
79,79,100079,OH531725,OH,RJ1104446,ABIM - Cardiovascular Disease,2027-12-11,2027-03-27,2029-10-08,1,2012-02-11,9999-12-31
80,80,100080,GA564383,GA,TF1462749,American Board of Internal Medicine,2027-01-09,2027-04-07,2029-12-24,1,2008-07-31,9999-12-31
81,81,100081,MN693003,MN,BA1000101,American Board of Internal Medicine,2026-11-24,2028-08-16,2035-10-04,1,2022-12-19,9999-12-31
82,82,100082,OH166263,OH,AB5872662,NCCPA Certification,2026-09-03,2027-12-09,2034-09-27,1,2013-11-06,9999-12-31
83,83,100083,NC913302,NC,FC7736623,American Board of Surgery,2027-08-26,2027-10-17,2034-03-06,1,2018-06-30,9999-12-31
84,84,100084,PA107695,PA,XT3778444,ABIM - Cardiovascular Disease,2027-02-18,2027-03-28,2032-07-18,1,2018-06-15,9999-12-31
85,85,100085,IL565194,IL,TJ2202316,ABPN - Psychiatry,2028-12-19,2027-05-26,2032-02-18,1,2022-06-10,9999-12-31
86,86,100086,GA653548,GA,PR7684062,American Board of Emergency Medicine,2028-12-30,2027-06-10,2033-10-23,1,2022-05-21,9999-12-31
87,87,100087,MN382930,MN,BP3158248,American Board of Internal Medicine,2028-07-09,2027-12-31,2029-04-06,1,2020-04-19,9999-12-31
88,88,100088,WA397431,WA,PL5408767,American Board of Emergency Medicine,2028-04-27,2026-07-24,2031-04-13,1,2016-01-08,9999-12-31
89,89,100089,CO350002,CO,RW6770725,American Board of Internal Medicine,2028-09-24,2027-09-15,2036-02-10,1,2020-11-20,9999-12-31
90,90,100090,CO125352,CO,MM1542565,ABIM - Medical Oncology,2026-09-26,2029-01-06,2029-11-21,1,2017-01-01,9999-12-31
91,91,100091,WA259595,WA,BS1996794,NCCPA Certification,2029-05-04,2026-10-20,2031-04-22,1,2006-12-25,9999-12-31
92,92,100092,MA440822,MA,UE5164366,American Board of Family Medicine,2029-02-05,2029-02-24,2032-08-30,1,2013-09-30,9999-12-31
93,93,100093,FL867867,FL,AH1611901,ABPN - Neurology,2027-03-27,2027-05-04,2032-05-06,1,2011-02-11,9999-12-31
94,94,100094,PA655679,PA,UA5323642,American Board of Surgery,2027-01-03,2028-06-19,2029-04-03,1,2023-03-06,9999-12-31
95,95,100095,CO273889,CO,GM7985184,American Board of Family Medicine,2028-07-01,2027-03-19,2030-08-03,1,2012-06-23,9999-12-31
96,96,100096,CA317372,CA,XB8893003,American Board of Anesthesiology,2028-12-17,2028-05-31,2033-03-19,1,2019-02-25,9999-12-31
97,97,100097,AZ952169,AZ,SC1400687,American Board of Internal Medicine,2029-05-28,2028-01-10,2029-11-23,1,2012-11-17,9999-12-31
98,98,100098,WA721948,WA,PA2026960,American Board of Internal Medicine,2027-11-24,2027-12-27,2034-09-12,1,2021-06-01,9999-12-31
99,99,100099,FL932465,FL,AH9065860,ABIM - Pulmonary Disease,2028-02-22,2027-02-15,2032-07-15,1,2005-01-23,9999-12-31
100,100,100100,MN598630,MN,MA3744412,ABPN - Psychiatry,2028-02-07,2029-05-25,2028-10-13,1,2008-05-23,9999-12-31
101,101,100101,WA101349,WA,GR5845726,American Board of Orthopaedic Surgery,2027-06-08,2029-06-15,2029-04-20,1,2012-03-20,9999-12-31
102,102,100102,WA111670,WA,SR4027794,American Board of Surgery,2027-07-02,2028-03-18,2033-01-09,1,2011-04-03,9999-12-31
103,103,100103,FL820181,FL,SM4132116,American Board of Obstetrics and Gynecology,2026-12-21,2028-09-24,2033-07-19,1,2014-05-31,9999-12-31
104,104,100104,MN947747,MN,SM6199654,American Board of Family Medicine,2027-08-07,2026-07-26,2028-01-14,1,2020-08-16,9999-12-31
105,105,100105,OH130280,OH,BM7586397,AANP Certification,2027-02-16,2026-07-28,2029-01-18,1,2005-07-29,9999-12-31
